"intent","user_query","bot_response"
"store_hours","When do you open on Monday?","We open at 7:00 AM Monday through Saturday."
"store_hours","Are you open today?","""We're open Monday-Saturday 7 AM - 7 PM, and Sunday 8 AM - 5 PM. Hope to see you!"""
"store_hours","What are your opening hours?","We're open Monday through Saturday from 7:00 AM to 7:00 PM and Sunday from 8:00 AM to 5:00 PM."
"store_hours","What time can I come by?","""We're open Monday-Saturday 7 AM - 7 PM, and Sunday 8 AM - 5 PM. Come by anytime!"""
"store_hours","Are you open in the morning?","""Yes! We open at 7:00 AM Monday-Saturday and 8:00 AM on Sundays."""
"store_hours","Do you open early?","Yes! We open at 7:00 AM Monday through Saturday and 8:00 AM on Sundays."
"store_hours","What are your Sunday hours?","We're open Sunday from 8:00 AM to 5:00 PM."
"store_hours","Are you open on Monday?","Yes! We're open Monday 7:00 AM to 7:00 PM."
"store_hours","Hours of operation?","""We're open Monday-Saturday 7 AM - 7 PM, and Sunday 8 AM - 5 PM."""
"store_hours","When are you open?","We're open Monday through Saturday from 7:00 AM to 7:00 PM and Sunday from 8:00 AM to 5:00 PM."
"store_hours","Business hours?","""Our hours are 7 AM - 7 PM Monday-Saturday, and 8 AM - 5 PM on Sundays."""
"store_hours","Open hours?","We're open Monday through Saturday from 7:00 AM to 7:00 PM and Sunday from 8:00 AM to 5:00 PM."
"store_hours","Are you closed on holidays?","""We're closed on major holidays like Christmas, Thanksgiving, and New Year's Day, but open with reduced hours on most other holidays."""
"store_hours","What about holidays?","We're closed on Christmas, Thanksgiving, and New Year's Day. We may have reduced hours on other holidays."
"store_hours","Open on Christmas?","""No, we're closed on Christmas Day to give our team time with their families."""
"store_hours","Do you close for holidays?","We're closed on major holidays like Christmas, Thanksgiving, and New Year's Day."
"store_hours","Are you open 7 days a week?","Yes! We're open every day. Monday-Saturday 7 AM - 7 PM and Sunday 8 AM - 5 PM."
"store_location","Where are you located?","We're located at 145 Main Street in Downtown. There's street parking available and a public parking lot one block away on Oak Street."
"store_location","What's your address?","You can find us at 145 Main Street in Downtown. We're right across from the city library. Street parking is available!"
"store_location","How do I get to your bakery?","We're at 145 Main Street in Downtown. There's street parking and a public parking lot one block away on Oak Street."
"store_location","Where can I find you?","You can find us at 145 Main Street in Downtown. We're right across from the city library!"
"store_location","Do you have parking?","""Yes! There's street parking available and a public parking lot one block away on Oak Street."""
"store_location","Is there parking available?","""Yes! There's street parking on Main Street and a public parking lot one block away on Oak Street."""
"store_location","Where is your shop?","We're located at 145 Main Street in Downtown."
"store_location","What's the address of the bakery?","145 Main Street in Downtown. Come visit us!"
"store_location","Where's the bakery?","We're at 145 Main Street in Downtown, right across from the city library."
"store_location","Are you downtown?","Yes! We're located at 145 Main Street in Downtown."
"store_location","Where is Sweet Haven Bakery?","We're at 145 Main Street in Downtown, across from the city library."
"store_location","How do I find you?","We're located at 145 Main Street in Downtown. We're across from the city library - you can't miss us!"
"store_location","Can you give me directions?","We're at 145 Main Street in Downtown, right across from the city library. There's parking available on the street and in a lot on Oak Street."
"store_location","Is parking free?","""Street parking is metered, but there's a public parking lot one block away on Oak Street."""
"store_location","Where do I park?","There's street parking on Main Street and a public parking lot one block away on Oak Street."
"store_location","What street are you on?","We're on Main Street - 145 Main Street in Downtown."
"store_location","Are you near the library?","""Yes! We're right across from the city library at 145 Main Street."""
"store_location","What's nearby?","We're in Downtown at 145 Main Street, right across from the city library."
"store_location","Is your location easy to find?","Yes! We're at 145 Main Street in Downtown, right across from the city library. Very easy to find!"
"store_location","Are you in the city center?","""Yes, we're in Downtown at 145 Main Street."""
"contact_info","What's your phone number?","""You can reach us at (555) 123-4567 or email us at hello@sweethavenbakery.com. We typically respond to emails within 24 hours!"""
"contact_info","How can I contact you?","""Feel free to call us at (555) 123-4567 or send an email to hello@sweethavenbakery.com. We're here to help!"""
"contact_info","Do you have an email?","""Yes! You can email us at hello@sweethavenbakery.com, or call (555) 123-4567."""
"contact_info","Can I call you?","""Absolutely! Our phone number is (555) 123-4567. We'd love to hear from you!"""
"contact_info","How do I reach you?","""You can call us at (555) 123-4567 or email hello@sweethavenbakery.com."""
"contact_info","Phone number?","(555) 123-4567 - give us a call anytime during business hours!"
"contact_info","Email address?","Our email is hello@sweethavenbakery.com. We typically respond within 24 hours!"
"contact_info","Can I email you?","""Yes! Send us an email at hello@sweethavenbakery.com and we'll get back to you within 24 hours."""
"contact_info","How do I get in touch?","""Call us at (555) 123-4567 or email hello@sweethavenbakery.com. We're happy to help!"""
"contact_info","Contact details?","""Phone: (555) 123-4567, Email: hello@sweethavenbakery.com. We look forward to hearing from you!"""
"contact_info","Can I text you?","We don't have texting available, but you can call us at (555) 123-4567 or email hello@sweethavenbakery.com!"
"contact_info","Do you have a website?","""You can contact us at (555) 123-4567 or hello@sweethavenbakery.com for all inquiries!"""
"contact_info","Best way to contact you?","""The best way is to call us at (555) 123-4567 for immediate assistance, or email hello@sweethavenbakery.com."""
"contact_info","Can I leave a message?","Yes! Call (555) 123-4567 and leave a message if we're busy. We'll get back to you as soon as possible!"
"contact_info","How quickly do you respond to emails?","We typically respond to emails within 24 hours during business days!"
"product_bread","Do you have sourdough bread?","""Yes! We bake fresh sourdough bread daily. It's actually our most popular bread! We also offer whole wheat, multigrain, rye, ciabatta, and French baguettes."""
"product_bread","What types of bread do you sell?","""We offer a variety of fresh-baked breads: sourdough, whole wheat, multigrain, rye, ciabatta, and baguettes. All baked fresh every morning!"""
"product_bread","Do you make fresh bread daily?","""Yes! All our bread is baked fresh every morning starting at 5 AM. We offer sourdough, whole wheat, multigrain, rye, ciabatta, and baguettes."""
"product_bread","Do you have whole wheat bread?","""Yes! We bake whole wheat bread fresh daily along with sourdough, multigrain, rye, ciabatta, and baguettes."""
"product_bread","Do you sell baguettes?","""Yes! We bake fresh French baguettes daily along with sourdough, whole wheat, multigrain, rye, and ciabatta."""
"product_bread","What's your most popular bread?","""Our sourdough is definitely our most popular bread! It's baked fresh every morning and customers love it."""
"product_bread","Do you have rye bread?","""Yes! We bake fresh rye bread daily along with our other varieties."""
"product_bread","What kind of bread do you make?","""We make sourdough, whole wheat, multigrain, rye, ciabatta, and French baguettes - all fresh daily!"""
"product_bread","Do you sell sandwich bread?","""Yes! Our whole wheat and multigrain breads are perfect for sandwiches."""
"product_bread","Is your bread fresh?","""Absolutely! All our bread is baked fresh every morning starting at 5 AM."""
"product_bread","Can I get a loaf of bread?","""Yes! We have sourdough, whole wheat, multigrain, rye, ciabatta, and baguettes available daily."""
"product_bread","What bread is available today?","""We bake all our breads fresh daily: sourdough, whole wheat, multigrain, rye, ciabatta, and baguettes!"""
"product_bread","Do you make artisan bread?","""Yes! Our sourdough and ciabatta are artisan-style breads, baked fresh daily."""
"product_bread","How much is a loaf of bread?","""Our bread ranges from $5-8 per loaf depending on the variety."""
"product_bread","Is your sourdough good?","""Our sourdough is our bestseller! It's baked fresh daily and customers absolutely love it."""
"product_bread","Do you have Italian bread?","""We have ciabatta, which is a traditional Italian bread, baked fresh daily!"""
"product_bread","What's the best bread?","""Our sourdough is our most popular, but all our breads are made fresh daily and delicious!"""
"product_bread","Do you make crusty bread?","""Yes! Our sourdough and baguettes have a nice crusty exterior."""
"product_bread","Can I get sliced bread?","""We can slice any of our loaves for you! Just let us know when you order."""
"product_bread","Do you have white bread?","""We have traditional bread options including ciabatta. Our whole wheat and multigrain are also very popular!"""
"product_pastries","Do you have croissants?","""Yes! We make fresh croissants daily in butter, chocolate, and almond varieties. We also have Danish pastries, cinnamon rolls, and fruit tarts. Everything is baked fresh each morning!"""
"product_pastries","What pastries do you offer?","""We have a delicious selection of pastries! Our croissants include plain butter, chocolate, and almond. We also offer Danish pastries, cinnamon rolls, pain au chocolat, and seasonal fruit tarts."""
"product_pastries","Can I get a chocolate croissant?","""Absolutely! Our chocolate croissants are baked fresh every morning and they're one of our most popular items!"""
"product_pastries","Do you have almond croissants?","""Yes! Almond croissants are one of our specialties and a customer favorite. They're baked fresh daily!"""
"product_pastries","Do you make cinnamon rolls?","""Yes! We make fresh cinnamon rolls every morning. They're delicious and very popular!"""
"product_pastries","What's your best pastry?","""Our chocolate croissants are incredibly popular! The almond croissants and cinnamon rolls are also customer favorites."""
"product_pastries","Do you have Danish pastries?","""Yes! We make fresh Danish pastries daily with various fruit toppings."""
"product_pastries","Can I get a butter croissant?","""Yes! Our butter croissants are baked fresh every morning for $4."""
"product_pastries","Do you sell pain au chocolat?","""Yes! That's what we call our chocolate croissants - baked fresh daily!"""
"product_pastries","What sweet treats do you have?","""We have croissants, Danish pastries, cinnamon rolls, cookies, cupcakes, cakes, and fruit tarts!"""
"product_pastries","Do you make fruit tarts?","""Yes! We have seasonal fruit tarts that change throughout the year."""
"product_pastries","Are your pastries buttery?","""Yes! We use real butter in all our pastries for that rich, flaky texture."""
"product_pastries","What's flaky and delicious?","""Our croissants! They're flaky, buttery, and baked fresh daily in butter, chocolate, and almond varieties."""
"product_pastries","Do you have breakfast pastries?","""Yes! We have croissants, Danish pastries, cinnamon rolls, and more - all perfect for breakfast!"""
"product_pastries","What's good for breakfast?","""Our croissants and cinnamon rolls are perfect for breakfast! Also try our Danish pastries."""
"product_pastries","Can I get a fresh pastry?","""Everything is baked fresh starting at 5 AM! Come in and choose from croissants, Danish pastries, cinnamon rolls, and more."""
"product_pastries","What's your signature pastry?","""Our chocolate and almond croissants are signature items - customers rave about them!"""
"product_pastries","Do you make eclairs?","""We focus on croissants, Danish pastries, and cinnamon rolls. Check with us for seasonal specialty items!"""
"product_pastries","What morning pastries do you have?","""We have butter, chocolate, and almond croissants, Danish pastries, and cinnamon rolls - all fresh daily!"""
"product_pastries","Do you have turnovers?","""We have seasonal fruit tarts that are similar! Check what's available when you visit."""
"product_cakes","Do you make birthday cakes?","""Yes, we make custom birthday cakes! Our popular flavors include chocolate, vanilla, red velvet, lemon, and carrot cake. We offer 6-inch ($28), 8-inch ($42), and 10-inch ($58) sizes. For custom designs, please call us at (555) 123-4567."""
"product_cakes","Can I order a custom cake?","""Absolutely! We'd be happy to create something special for you. For custom cakes, please give us 2-3 days notice. Contact us at (555) 123-4567 or hello@sweethavenbakery.com with your details."""
"product_cakes","What cake flavors do you have?","""Our popular cake flavors include chocolate, vanilla, red velvet, lemon, and carrot cake. We can also do custom flavors for special orders!"""
"product_cakes","Do you do wedding cakes?","""Yes! We specialize in wedding cakes. Please call us at (555) 123-4567 at least one week in advance to discuss your design, schedule a tasting, and finalize details."""
"product_cakes","How much is a birthday cake?","""Our birthday cakes start at $28 for a 6-inch, $42 for an 8-inch, and $58 for a 10-inch. Prices may vary for custom designs. Call us at (555) 123-4567 to discuss!"""
"product_cakes","Can you make a cake for 20 people?","""Yes! A 10-inch cake serves about 20 people and costs $58. For custom designs, call us at (555) 123-4567."""
"product_cakes","What size cakes do you make?","""We make 6-inch, 8-inch, and 10-inch cakes. For larger sizes, please call us at (555) 123-4567."""
"product_cakes","Do you make layer cakes?","""Yes! All our cakes are layer cakes with your choice of frosting and filling."""
"product_cakes","Can I get a chocolate cake?","""Yes! Chocolate is one of our most popular flavors. Available in 6-inch ($28), 8-inch ($42), or 10-inch ($58)."""
"product_cakes","Do you have vanilla cake?","""Yes! Vanilla is available in all sizes: 6-inch ($28), 8-inch ($42), or 10-inch ($58)."""
"product_cakes","What's your best cake flavor?","""Red velvet is incredibly popular! But chocolate, vanilla, lemon, and carrot cake are all favorites."""
"product_cakes","Can you write on a cake?","""Yes! We can add custom messages to any cake. Just let us know what you'd like when ordering."""
"product_cakes","Do you make cupcakes?","""Yes! We make cupcakes in various flavors for $4 each."""
"product_cakes","Can I get a red velvet cake?","""Yes! Red velvet is one of our most popular flavors. Available in 6-inch ($28), 8-inch ($42), or 10-inch ($58)."""
"product_cakes","Do you make lemon cake?","""Yes! Lemon cake is available in all sizes with a delicious lemon buttercream."""
"product_cakes","Can you make a cake with fondant?","""Yes! We can create cakes with fondant decorations. Please call (555) 123-4567 to discuss your design."""
"product_cakes","Do you make sheet cakes?","""Our standard cakes are round layer cakes. For sheet cakes, please call (555) 123-4567 to discuss options."""
"product_cakes","How big is a 6-inch cake?","""A 6-inch cake serves about 6-8 people and costs $28."""
"product_cakes","How many does an 8-inch cake serve?","""An 8-inch cake serves about 12-15 people and costs $42."""
"product_cakes","What's the biggest cake you make?","""Our standard sizes go up to 10-inch (serves ~20 people). For larger cakes, please call (555) 123-4567."""
"product_cookies","Do you sell cookies?","""Yes! We bake fresh cookies daily including chocolate chip, oatmeal raisin, sugar cookies, peanut butter, and double chocolate. They're $2 each or $20 per dozen."""
"product_cookies","What kind of cookies do you have?","""We have chocolate chip, oatmeal raisin, sugar cookies, peanut butter, and double chocolate cookies, all baked fresh daily. $2 each or $20 per dozen!"""
"product_cookies","Do you have chocolate chip cookies?","""Yes! Our chocolate chip cookies are baked fresh daily and they're a bestseller. $2 each or $20 per dozen!"""
"product_cookies","How much are cookies?","""Cookies are $2 each or you can get a dozen for $20. We have chocolate chip, oatmeal raisin, sugar, peanut butter, and double chocolate!"""
"product_cookies","Can I buy cookies by the dozen?","""Yes! A dozen cookies is $20, or individual cookies are $2 each."""
"product_cookies","What's your best cookie?","""Our chocolate chip cookies are the bestseller, but all our cookies are delicious!"""
"product_cookies","Do you have sugar cookies?","""Yes! Fresh-baked sugar cookies daily for $2 each or $20 per dozen."""
"product_cookies","Can I get oatmeal raisin cookies?","""Yes! Oatmeal raisin cookies are baked fresh daily - $2 each or $20 per dozen."""
"product_cookies","Do you make peanut butter cookies?","""Yes! Peanut butter cookies are available fresh daily."""
"product_cookies","What about double chocolate cookies?","""Yes! Double chocolate cookies are one of our five varieties, baked fresh daily."""
"product_cookies","Are your cookies soft or crunchy?","""Our cookies are soft-baked with a slightly crisp edge - perfectly balanced!"""
"product_cookies","Can I order cookies in bulk?","""Yes! We offer discounts for large orders. Call (555) 123-4567 to discuss bulk pricing."""
"product_cookies","Do you make decorated cookies?","""For decorated sugar cookies, please call (555) 123-4567 to place a custom order."""
"product_cookies","Can I get half a dozen cookies?","""We sell cookies individually at $2 each or by the dozen for $20."""
"product_cookies","What cookie flavors are available?","""Chocolate chip, oatmeal raisin, sugar, peanut butter, and double chocolate - all fresh daily!"""
"dietary_gluten_free","Do you have gluten-free options?","""Yes! We offer gluten-free options including chocolate cake, vanilla cupcakes, brownies, and sandwich bread. We take cross-contamination seriously and prepare gluten-free items in a separate area."""
"dietary_gluten_free","What gluten-free products do you offer?","""We have several gluten-free options: chocolate and vanilla cakes, cupcakes, brownies, and sandwich bread. All are prepared in a dedicated gluten-free area to minimize cross-contamination."""
"dietary_gluten_free","Can you make a gluten-free cake?","""Yes! We make gluten-free chocolate and vanilla cakes. For custom gluten-free cakes, please give us 48 hours notice. All gluten-free items are prepared in a separate area."""
"dietary_gluten_free","I'm celiac what can I eat?","""We have gluten-free options prepared in a dedicated area: chocolate cake, vanilla cupcakes, brownies, and sandwich bread. Please let us know you have celiac disease so we can take extra precautions!"""
"dietary_gluten_free","Do you have gluten-free bread?","""Yes! We make gluten-free sandwich bread, prepared in a separate area to minimize cross-contamination."""
"dietary_gluten_free","Are your gluten-free items safe for celiacs?","""Yes! We prepare all gluten-free items in a dedicated area. Please inform us of your celiac disease so we can take extra precautions."""
"dietary_gluten_free","What's gluten-free?","""We have gluten-free chocolate cake, vanilla cupcakes, brownies, and sandwich bread - all prepared in a separate area."""
"dietary_gluten_free","Do you make gluten-free cupcakes?","""Yes! Gluten-free vanilla cupcakes are available, prepared in our dedicated gluten-free area."""
"dietary_gluten_free","Can I get a gluten-free birthday cake?","""Absolutely! We make gluten-free birthday cakes in chocolate and vanilla. Please give us 48 hours notice."""
"dietary_gluten_free","Do you have gluten-free brownies?","""Yes! We make gluten-free brownies fresh, prepared in a dedicated area."""
"dietary_gluten_free","Is there a gluten-free menu?","""We offer gluten-free chocolate cake, vanilla cupcakes, brownies, and sandwich bread. All prepared in a separate area."""
"dietary_gluten_free","Do you avoid cross-contamination?","""Yes! All gluten-free items are prepared in a dedicated area to minimize cross-contamination."""
"dietary_gluten_free","Can you guarantee no gluten?","""We prepare gluten-free items in a separate area, but we work in a bakery that uses wheat. We take precautions but cannot guarantee 100% gluten-free."""
"dietary_gluten_free","What if I have a severe gluten allergy?","""Please call us at (555) 123-4567 so we can discuss your specific needs and ensure we take all necessary precautions."""
"dietary_gluten_free","Do you use gluten-free flour?","""Yes! We use high-quality gluten-free flour blends for all our gluten-free products."""
"dietary_vegan","Do you have vegan options?","""Yes! We offer vegan chocolate cake, vanilla cake, banana bread, and chocolate chip cookies. We can also create custom vegan cakes with 48 hours notice!"""
"dietary_vegan","What can vegans eat here?","""We have vegan options including chocolate and vanilla cakes, banana bread, and chocolate chip cookies. For custom vegan cakes, please give us 2 days notice!"""
"dietary_vegan","Can you make a dairy-free cake?","""Yes! We make vegan cakes that are completely dairy-free in chocolate and vanilla flavors. For custom orders, please give us 48 hours notice."""
"dietary_vegan","Do you have plant-based options?","""Yes! Our vegan items include chocolate cake, vanilla cake, banana bread, and chocolate chip cookies."""
"dietary_vegan","Can I get a vegan birthday cake?","""Absolutely! We make vegan birthday cakes in chocolate and vanilla. Please give us 48 hours notice for custom orders."""
"dietary_vegan","What vegan pastries do you have?","""We have vegan chocolate chip cookies and banana bread available. For vegan pastries, please call ahead."""
"dietary_vegan","Do you use eggs in everything?","""Most of our items contain eggs, but we have vegan options: chocolate cake, vanilla cake, banana bread, and chocolate chip cookies."""
"dietary_vegan","Can you make vegan cupcakes?","""Yes! We can make vegan cupcakes with 48 hours notice. Please call (555) 123-4567 to order."""
"dietary_vegan","Do you have dairy-free options?","""Yes! All our vegan items are dairy-free: chocolate cake, vanilla cake, banana bread, and chocolate chip cookies."""
"dietary_vegan","What's vegan here?","""We offer vegan chocolate cake, vanilla cake, banana bread, and chocolate chip cookies!"""
"dietary_vegan","Do you use butter substitutes?","""Yes! For our vegan items, we use high-quality plant-based butter alternatives."""
"dietary_vegan","Can vegans eat your cookies?","""Our vegan chocolate chip cookies are perfect for vegans!"""
"dietary_vegan","Do you have egg-free options?","""Yes! All our vegan items are egg-free: chocolate cake, vanilla cake, banana bread, and cookies."""
"dietary_vegan","Can you make a vegan wedding cake?","""Yes! We can create beautiful vegan wedding cakes. Please call (555) 123-4567 at least one week in advance."""
"dietary_nut_allergy","Are your products nut-free?","""We do use nuts in some products like almond croissants, but we can make most items nut-free upon request. Please inform us of your allergy when ordering so we can take proper precautions."""
"dietary_nut_allergy","I have a nut allergy what's safe?","""Please let us know about your allergy when ordering! We use nuts in some items but can make most products nut-free. For severe allergies, call us at (555) 123-4567 to discuss precautions."""
"dietary_nut_allergy","Can you make a nut-free cake?","""Yes! We can make nut-free cakes. Please inform us of your allergy when ordering so we can ensure your cake is prepared safely with proper precautions."""
"dietary_nut_allergy","Do you use nuts?","""We use nuts in some items like almond croissants and certain cakes. We can accommodate nut-free requests for most products."""
"dietary_nut_allergy","Which items have nuts?","""Our almond croissants definitely contain nuts, and some cakes may include nuts. Please ask about specific items."""
"dietary_nut_allergy","Can I eat here with a peanut allergy?","""Please inform us of your peanut allergy when ordering. We can make most items without peanuts, but we'll take extra precautions."""
"dietary_nut_allergy","Do you have tree nuts in your bakery?","""Yes, we use almonds in some products. Please inform us of your allergy so we can take proper precautions."""
"dietary_nut_allergy","Is everything nut-free?","""No, we use nuts in some items like almond croissants. However, we can make most items nut-free upon request."""
"dietary_nut_allergy","Can you avoid almonds?","""Yes! Just let us know about your allergy and we'll ensure your items are almond-free."""
"dietary_nut_allergy","Do your cookies have nuts?","""Our standard cookies don't contain nuts, but we can confirm for you when you order."""
"dietary_nut_allergy","Is cross-contamination possible with nuts?","""Yes, since we use nuts in some items. For severe allergies, please call (555) 123-4567 to discuss precautions."""
"dietary_nut_allergy","My child has a nut allergy","""Please inform us when ordering so we can take extra precautions to ensure your child's safety!"""
"dietary_nut_allergy","What's safe for nut allergies?","""Most of our items can be made nut-free. Please let us know about the allergy when ordering so we can ensure safety."""
"dietary_nut_allergy","Do you process nuts here?","""Yes, we use almonds in some products. We'll take proper precautions if you inform us of your allergy."""
"dairy_allergy","Do you have dairy-free options?","""Yes! All our vegan items are dairy-free: chocolate cake, vanilla cake, banana bread, and chocolate chip cookies."""
"dairy_allergy","I'm lactose intolerant what can I eat?","""Our vegan options are perfect for you: chocolate cake, vanilla cake, banana bread, and chocolate chip cookies - all dairy-free!"""
"dairy_allergy","Can you make a cake without milk?","""Yes! Our vegan cakes are made without any dairy. We have chocolate and vanilla available."""
"dairy_allergy","Do you use milk in everything?","""Most items contain dairy, but we have dairy-free vegan options: chocolate cake, vanilla cake, banana bread, and cookies."""
"dairy_allergy","What's lactose-free?","""Our vegan items are lactose-free: chocolate cake, vanilla cake, banana bread, and chocolate chip cookies."""
"dairy_allergy","Can I get a dairy-free birthday cake?","""Yes! Our vegan birthday cakes are dairy-free. Available in chocolate and vanilla with 48 hours notice."""
"dairy_allergy","Do you use real butter?","""Yes, we use real butter in most items, but our vegan options are made with plant-based alternatives."""
"dairy_allergy","What about milk allergies?","""Our vegan options are perfect for milk allergies: chocolate cake, vanilla cake, banana bread, and cookies."""
"dairy_allergy","Can you make dairy-free cupcakes?","""Yes! We can make vegan dairy-free cupcakes with 48 hours notice."""
"dairy_allergy","Is your bread dairy-free?","""Most breads contain dairy, but our vegan banana bread is dairy-free. Please ask about specific breads."""
"pricing_general","How much are your croissants?","""Our croissants are $4-5 depending on the variety. Butter croissants are $4, while chocolate and almond are $5 each."""
"pricing_general","What are your prices?","""Our pricing: Bread $5-8, Croissants $4-5, Cookies $2 each ($20/dozen), Cupcakes $4 each, Standard cakes start at $28. Would you like specific pricing for any item?"""
"pricing_general","How much do cupcakes cost?","Our cupcakes are $4 each and are baked fresh daily! We have various flavors available."
"pricing_general","How much for a dozen cookies?","""A dozen cookies is $20, or you can buy individual cookies for $2 each. We have chocolate chip, oatmeal raisin, sugar, peanut butter, and double chocolate!"""
"pricing_general","How expensive is bread?","""Our bread ranges from $5-8 per loaf, depending on the variety."""
"pricing_general","What does a baguette cost?","Our French baguettes are $5 each and baked fresh daily!"
"pricing_general","Are you expensive?","""We offer quality artisan baked goods at fair prices! Bread $5-8, pastries $4-5, cookies $2 each, cakes starting at $28."""
"pricing_general","How much is a loaf?","Our bread loaves range from $5-8 depending on the type."
"pricing_general","Price for cinnamon rolls?","Our cinnamon rolls are $5 each and are baked fresh every morning!"
"pricing_general","What's the cost of a cake?","""Cakes start at $28 for a 6-inch, $42 for an 8-inch, and $58 for a 10-inch."""
"pricing_general","How much are muffins?","We focus on bread, pastries, cakes, and cookies. Would you like to hear about those?"
"pricing_general","What's the price range?","""Bread $5-8, Pastries $4-5, Cookies $2 each, Cupcakes $4, Cakes $28-58+."""
"pricing_general","Do you have a price list?","""Yes! Bread $5-8, Croissants $4-5, Cookies $2/$20 dozen, Cupcakes $4, Cakes from $28. What interests you?"""
"pricing_general","How much for a birthday cake?","""Birthday cakes start at $28 for 6-inch, $42 for 8-inch, $58 for 10-inch. Custom designs may cost more."""
"pricing_general","What's your cheapest item?","""Our cookies are $2 each - a delicious and affordable treat!"""
"pricing_general","Most expensive item?","""Custom wedding cakes are our highest-priced items. Call (555) 123-4567 for pricing on large custom orders."""
"pricing_general","Are prices negotiable?","""Our prices are set, but we offer fair pricing for quality artisan baked goods!"""
"pricing_general","Do you offer discounts?","""For large bulk orders, we may offer discounts. Call (555) 123-4567 to discuss!"""
"pricing_general","How much is the red velvet cake?","""Red velvet cakes are $28 for 6-inch, $42 for 8-inch, or $58 for 10-inch."""
"pricing_general","Price for a chocolate cake?","""Chocolate cakes are $28 for 6-inch, $42 for 8-inch, or $58 for 10-inch."""
"custom_order","Can I place a custom order?","""Yes, we love creating custom orders! For custom cakes and large orders, we recommend at least 48-72 hours notice. Please call us at (555) 123-4567 or email hello@sweethavenbakery.com with your requirements!"""
"custom_order","How do I order a special cake?","""Please call us at (555) 123-4567 or email hello@sweethavenbakery.com with your requirements, date needed, and design ideas. We recommend 2-3 days notice for custom cakes. We'll work with you to create something perfect!"""
"custom_order","I need a cake for next week","""Perfect! Please call us at (555) 123-4567 or email hello@sweethavenbakery.com with details about what you'd like. We'll make sure it's ready for you!"""
"custom_order","Can you personalize a cake?","""Absolutely! We can personalize cakes with custom messages, designs, and decorations. Call us at (555) 123-4567 to discuss your ideas!"""
"custom_order","Can you make something special?","""Yes! We love creating custom orders. Give us a call at (555) 123-4567 with your ideas!"""
"custom_order","I want a specific design","""Wonderful! Call us at (555) 123-4567 or email hello@sweethavenbakery.com with your design ideas and we'll make it happen!"""
"custom_order","How much notice do you need?","""For custom cakes and large orders, we recommend 48-72 hours notice. Call (555) 123-4567 to discuss!"""
"custom_order","Can you make a themed cake?","""Absolutely! We can create themed cakes for any occasion. Call (555) 123-4567 with your theme ideas!"""
"custom_order","Do you take special requests?","""Yes! We welcome special requests. Call (555) 123-4567 or email hello@sweethavenbakery.com to discuss!"""
"custom_order","Can I get a custom flavor?","""Yes! We can create custom flavors. Call (555) 123-4567 to discuss your preferences!"""
"custom_order","How do I order a unique cake?","""Call us at (555) 123-4567 or email hello@sweethavenbakery.com with your ideas. We'll work with you to create something unique!"""
"custom_order","Can you do character cakes?","""Yes! We can create character-themed cakes. Call (555) 123-4567 to discuss your vision!"""
"custom_order","I need a cake with a photo","""We can create cakes with edible images! Call (555) 123-4567 to discuss this option."""
"custom_order","Can you write something specific on a cake?","""Yes! We can write any message you'd like. Just let us know when you order!"""
"custom_order","Do you do tiered cakes?","""Yes! We can create beautiful tiered cakes. Call (555) 123-4567 to discuss your needs!"""
"advance_order","Can I order ahead?","""Yes, we accept advance orders! For regular items, you can call us at (555) 123-4567 the day before. For custom cakes and large orders, we ask for 2-3 days notice."""
